C - 150	2AR X 620	EMPIRE BUSINESS FURNITURE	ITS EASIER WITH “EMPIRE”
C - 151	1 ARX 610	BAKER PACKAGING	STIRLING INSULATIONS
C - 152	3 AR  890	SIGNET	INSUL SHOP
C - 153		PANTEX ROOFING	PANTEX ROOFING
C - 154		BFX FURNITURE	BFX FURNITURE
C - 155		SIGNET	WESBEAM
CODE	CYL	CUSTOMER	PLATE DESCRIPTION
C-156		ABL	PARADISE TIMBERS
C-157	390	SPILL STATION	CAUTION USED OIL FILTER FOR WASTE DISPOSAL
C-158	1 X 890	POLYCELL	DUNLOP FLOORSHIELD
C-159	1 X 535	CLOVERPIPE LINES	REPAIR ANY DAMAGE DRINKING WATER
C- 160		ZOLU	AQUARIUM SAND & GRAVEL 10KG & 20KG
C – 161		PAC PLUS	STANGER BAY ICE
C – 162		CONSOILDED LINEN	CREDITS
C – 163		MOOLOOLAH FISHERIES	MRF
C – 164	2 X 390	LIBERTY SARINA	5KG & 10KG
C – 165	2 X 620	TRENT GIUDICE	2KG & 4KG
C – 166	1 X 390	Mary Valley Pet Cremation	VET CLINIC/PET NAME/ANIMAL RACE ETC
C – 167	1 x 460	CWG insulation	CAUTION – synthetic mineral fibre
C – 168	3 X 890	Signet (new plates 11/11/19)	INSUL SHOP
C – 169	1 X 720	POLYCELL	DUMLOP- TIMBERMATE
C - 170	1 X 720	BUBBLE TEC	          LOOSE FILL PEANUTS
C-171	1 X 390	EMTEC	Emtek commercial furniture
C-172	1 X 720	POLYCELL	THERMACOUSTIC
C-173	2 X 390	BULLDOG ICE – MOOPOO	5KG & 10KG – REFLEX BLUE
C-174	1 X 720	GEOFRABRICES 	SORBSEAL
c-175		GLENARVON TIMBERS	GLENARVON TIMBERS
C- 176	2COLX2SIDE	TOWNSVILLE HAREWARE	TOWNSVILLE HAREWARE
C–177	2COLX2SIDE	HERBERT HARDWARE	HERBERT HARDWARE
C-178	2COLX2SIDE	CAIRNS HARDWARE	CAIRNS HARDWARE
C-179	1 X 62CYL	VINIDEX X 3 COLOURS	LILAC, CREAM, BLUE PLATES
C-180	1 X 720	SUNSTATE TIMBERS	SUNSTATE TIMBERS
C- 181	1AR X 460	EMJAY	PROWLER PROOF
C-182	1AR X 750	SIGNET	NORFORM ITEM 53269 & 53270
C-183	1AR X 460	TOTAL CHOICE	NAURU AIRLINES – 18/4/23
C- 184	1AR X 460	DABRON	ACMA
C-185	1AR X 390	DABRON	CARBATER
C – 186	2AR X 720	ENVIROSMART	CONTAMINATED ABSORBENT WASTE
C-187	1AR X 620	QIS	Positive Traction Alimento
C-188	1ar x 300	Aza Pak	LLOYDS
C-189	1ar x 390	Harben	OE OUTBACK EXHAUSTS
C-190	1ar x 620	Aza pak	WOODFIELD ENGINEERING
			
			
			
			
			
			
			
			
			
			
			
			
			
			

