

Receivable Invoice Detail																
DOLPHIN PLASTICS & PACKAGING																
For the period 1 July 2024 to 30 June 2025																
																
Invoice Number	Invoice Date	Source	Reference	Item Code	Description	Quantity	Unit Price (ex) (AUD)	Discount (ex) (AUD)	GST (AUD)	Gross (AUD)	Invoice Total (AUD)	Balance (AUD)	Contact Account Number	Contact Group	Account Code	Account
																
100% REEF SAFE																
948575	27 Sep 2024	Receivable Invoice	PO066098		**USE BB ACCOUNT***	1.0000	0.0000	0.00	0.00	0.00	1,527.90	0.00	5103			
948643	27 Sep 2024	Receivable Invoice	PO066579		PB10001200100 - L/D NATURAL POLY BAG 1000MM X 1200MM X 100UM $/1000 (UOM = THOU)   - (Customer Part # .)	1.0500	1,389.0000	0.00	145.85	1,604.30	1,604.30	0.00	5103		4030	Sales - Manufactured Finished Goods
948643	27 Sep 2024	Receivable Invoice	PO066579		**USE BB ACCOUNT***	1.0000	0.0000	0.00	0.00	0.00	1,604.30	0.00	5103			
948643	27 Sep 2024	Receivable Invoice	PO066579		# DUE TO MANUFACTURING UNDER AND OVER ALLOWANCES THIS ITEM IS SLIGHTLY OVER YOUR REQUESTED AMOUNT, PLEASE ADJUST YOUR PURCHASE ORDER ACCORDINGLY.	1.0000	0.0000	0.00	0.00	0.00	1,604.30	0.00	5103			
948874	06 Nov 2024	Receivable Invoice	PO068613		****SEND WITH  BB ON ACCOUNT***	1.0000	0.0000	0.00	0.00	0.00	612.15	0.00	5103			
948874	06 Nov 2024	Receivable Invoice	PO068613		T450150Y-15KG - LD YELLOW POLY TUBE 450MM X 150UM ; 15KG/ROLL ; $/KG (UOM = kg)	105.0000	5.3000	0.00	55.65	612.15	612.15	0.00	5103		4030	Sales - Manufactured Finished Goods
948893	03 Dec 2024	Receivable Invoice	PO068763		T200200P - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 200 X 200UM  20kg/ROLL;  PERkg (UOM = kg)	200.0000	5.1000	0.00	102.00	1,122.00	1,122.00	0.00	5103		4030	Sales - Manufactured Finished Goods
948893	03 Dec 2024	Receivable Invoice	PO068763		****SEND WITH  BB ON ACCOUNT***	1.0000	0.0000	0.00	0.00	0.00	1,122.00	0.00	5103			
949079	30 Jan 2025	Receivable Invoice	PO070593		T200200P - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 200 X 200UM  20kg/ROLL;  PERkg (UOM = kg)	200.0000	5.1000	0.00	102.00	1,122.00	2,244.00	0.00	5103		4030	Sales - Manufactured Finished Goods
949079	30 Jan 2025	Receivable Invoice	PO070593		T300200P-PTE HYDRAULICS - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 300MM X 200UM, 25KG/ROLL, PER KG (UOM = kg)   - (Customer Part # T300200P)	200.0000	5.1000	0.00	102.00	1,122.00	2,244.00	0.00	5103		4030	Sales - Manufactured Finished Goods
949079	30 Jan 2025	Receivable Invoice	PO070593		**SEND ON BB ACCOUNT***	1.0000	0.0000	0.00	0.00	0.00	2,244.00	0.00	5103			
949110	05 Feb 2025	Receivable Invoice	PO070789		T350150Y(15KG) - L/D YELLOW TUBE 350 X 150UM, 15KG/ROLL, $/KG (UOM = kg)	105.0000	5.3000	0.00	55.65	612.15	612.15	0.00	5103		4030	Sales - Manufactured Finished Goods
949427	31 Mar 2025	Receivable Invoice	PO072992		T200200P - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 200 X 200UM  20kg/ROLL;  PERkg (UOM = kg)	200.0000	5.1000	0.00	102.00	1,122.00	2,244.00	0.00	5103		4030	Sales - Manufactured Finished Goods
949427	31 Mar 2025	Receivable Invoice	PO072992		T300200P-PTE HYDRAULICS - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 300MM X 200UM, 25KG/ROLL, PER KG (UOM = kg)   - (Customer Part # T300200P)	200.0000	5.1000	0.00	102.00	1,122.00	2,244.00	0.00	5103		4030	Sales - Manufactured Finished Goods
949427	31 Mar 2025	Receivable Invoice	PO072992		**SEND ON BB ACCOUNT***	1.0000	0.0000	0.00	0.00	0.00	2,244.00	0.00	5103			
949586	15 Apr 2025	Receivable Invoice	PO074451		T200200P - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 200 X 200UM  20kg/ROLL;  PERkg (UOM = kg)	200.0000	5.1000	0.00	102.00	1,122.00	2,244.00	0.00	5103		4030	Sales - Manufactured Finished Goods
949586	15 Apr 2025	Receivable Invoice	PO074451		T300200P-PTE HYDRAULICS - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 300MM X 200UM, 25KG/ROLL, PER KG (UOM = kg)   - (Customer Part # T300200P)	200.0000	5.1000	0.00	102.00	1,122.00	2,244.00	0.00	5103		4030	Sales - Manufactured Finished Goods
Total ABL - As SIGNET						2,536.0500		0.00	1,681.05	18,491.50		0.00				
																
ABLE SECURITY GROUP																
948151	05 Jul 2024	Receivable Invoice	JULY ORDER		TAPE48 ACRYLIC - WEB TAPE - WEB TAPE - CLEAR ACRYLIC TAPE 48MM X 75MT  36 ROLLS/CARTON $/CTN (UOM = CTN)	4.0000	72.0000	0.00	28.80	316.80	840.79	0.00	5104		4030	Sales - Manufactured Finished Goods
948151	05 Jul 2024	Receivable Invoice	JULY ORDER		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	1.0000	86.3500	0.00	8.64	94.99	840.79	0.00	5104		4040	Sales - Purchased Finished Goods
948151	05 Jul 2024	Receivable Invoice	JULY ORDER		T200100(10kg) - L/D NATURAL POLYTUBE 200MM X 270M X 100UM  10kg/ROLL  $PER kg (UOM = kg)   - (Customer Part # .)	20.0000	6.0000	0.00	12.00	132.00	840.79	0.00	5104		4030	Sales - Manufactured Finished Goods
948151	05 Jul 2024	Receivable Invoice	JULY ORDER		STRETCH WRAP REAPER - CAST STRETCH WRAP 500MM X 400MTRS X 23UM 4ROLLS/CTN $/CTN (UOM = CTN)	3.0000	90.0000	0.00	27.00	297.00	840.79	0.00	5104		4020	Sales - Imported Finished Goods
948151	05 Jul 2024	Receivable Invoice	JULY ORDER		**LET GLENN KNOW WHEN ORDER IS READY*****	1.0000	0.0000	0.00	0.00	0.00	840.79	0.00	5104			
948506	27 Aug 2024	Receivable Invoice	AUGUST ORDER - PAUL		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	2.0000	86.3500	0.00	17.27	189.97	189.97	0.00	5104		4040	Sales - Purchased Finished Goods
948506	27 Aug 2024	Receivable Invoice	AUGUST ORDER - PAUL		**LET PAUL KNOW WHEN THE ORDER IS READY FOR COLLECTION****	1.0000	0.0000	0.00	0.00	0.00	189.97	0.00	5104			
948661	24 Sep 2024	Receivable Invoice	SEPTMBER ORDER -GLENN		TAPE48 ACRYLIC - WEB TAPE - WEB TAPE - CLEAR ACRYLIC TAPE 48MM X 75MT  36 ROLLS/CARTON $/CTN (UOM = CTN)	2.0000	72.0000	0.00	14.40	158.40	538.34	0.00	5104		4030	Sales - Manufactured Finished Goods
948661	24 Sep 2024	Receivable Invoice	SEPTMBER ORDER -GLENN		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	4.0000	86.3500	0.00	34.54	379.94	538.34	0.00	5104		4040	Sales - Purchased Finished Goods
948775	09 Oct 2024	Receivable Invoice	GLENN		PRO TAPE DISPENSER - TAPE DISPENSER PRO FORZA CODE #12040 (UOM = ea)	2.0000	19.3400	0.00	0.00	38.68	38.68	0.00	5104		4040	Sales - Purchased Finished Goods
948918	04 Nov 2024	Receivable Invoice	NOVEMBER ORDER -GLENN		TAPE48 ACRYLIC - WEB TAPE - WEB TAPE - CLEAR ACRYLIC TAPE 48MM X 75MT  36 ROLLS/CARTON $/CTN (UOM = CTN)	3.0000	94.5000	0.00	28.35	311.85	1,216.33	0.00	5104		4030	Sales - Manufactured Finished Goods
948918	04 Nov 2024	Receivable Invoice	NOVEMBER ORDER -GLENN		STRETCH WRAP BUNDLE (20/CTN) - BUNDLE WRAP 100MM X 300MTS X 20UM 20/CTN $/CTN (UOM = CTN)	3.0000	86.3500	0.00	25.91	284.96	1,216.33	0.00	5104		4040	Sales - Purchased Finished Goods
