Receivable Invoice Detail																
DOLPHIN PLASTICS & PACKAGING																
For the period 1 July 2025 to 30 June 2026																
																
Invoice Number	Invoice Date	Source	Reference	Item Code	Description	Quantity	Unit Price (ex) (AUD)	Discount (ex) (AUD)	GST (AUD)	Gross (AUD)	Invoice Total (AUD)	Balance (AUD)	Contact Account Number	Contact Group	Account Code	Account
																
A1 COATERS																
951193	04 Mar 2026	Receivable Invoice	PO089114		CF1000(2000)50UM200MTBK - L/D BLACK CENTREFOLD 1000(2000) X 50UM  ;200MT/ROLL;  $/ROLL (UOM = ROLL)   - (Customer Part # 10850)	7.0000	149.5000	0.00	104.65	1,151.15	1,613.15	1,151.15	5103		4030	Sales - Manufactured Finished Goods
951193	04 Mar 2026	Receivable Invoice	PO089114		# DUE TO MANUFACTURING UNDER AND OVER ALLOWANCES THIS ITEM IS SLIGHTLY OVER YOUR REQUESTED AMOUNT, PLEASE ADJUST YOUR PURCHASE ORDER ACCORDINGLY.	1.0000	0.0000	0.00	0.00	0.00	1,613.15	0.00	5103			
951217	16 Mar 2026	Receivable Invoice	PO089519		T200200P - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 200 X 200UM  20kg/ROLL;  PERkg (UOM = kg)	120.0000	5.7500	0.00	69.00	759.00	759.00	759.00	5103		4030	Sales - Manufactured Finished Goods
951217	16 Mar 2026	Receivable Invoice	PO089519		W/O DONE12/11/25 PRODUCTION SHEET DONE CQ 5/3/26 LABELS DONE5/3/26DF	1.0000	0.0000	0.00	0.00	0.00	759.00	0.00	5103			
950888	16 Mar 2026	Receivable Invoice	PO085974		T200200P - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 200 X 200UM  20kg/ROLL;  PERkg (UOM = kg)	200.0000	5.7500	0.00	115.00	1,265.00	1,265.00	1,265.00	5103		4030	Sales - Manufactured Finished Goods
950888	16 Mar 2026	Receivable Invoice	PO085974		**DUE TO THIS ORDER BEING PLACED  AFTER THE CHRISTIMAS CUT OFF DATE THIS WILL NOT BE MANUFACTURED UNTILL  JANUARY 2026***	1.0000	0.0000	0.00	0.00	0.00	1,265.00	0.00	5103			
950888	16 Mar 2026	Receivable Invoice	PO085974		W/O DONE12/11/25 PRODUCTION SHEET DONE CQ 5/3/26 LABELS DONE5/3/26DF	1.0000	0.0000	0.00	0.00	0.00	1,265.00	0.00	5103			
951217-02	17 Mar 2026	Receivable Invoice	PO089519		T200200P - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 200 X 200UM  20kg/ROLL;  PERkg (UOM = kg)	80.0000	5.7500	0.00	46.00	506.00	506.00	506.00	5103		4030	Sales - Manufactured Finished Goods
951508	17 Mar 2026	Receivable Invoice	PO092823		T200200P - L/D NATURAL TUBE PRINTED 'PTE HYDRAULICS' 200 X 200UM  20kg/ROLL;  PERkg (UOM = kg)	200.0000	5.7500	0.00	115.00	1,265.00	1,265.00	1,265.00	5103		4030	Sales - Manufactured Finished Goods
951508	17 Mar 2026	Receivable Invoice	PO092823		W/O DONE12/11/25 PRODUCTION SHEET DONE CQ 5/3/26 LABELS DONE5/3/26DF	1.0000	0.0000	0.00	0.00	0.00	1,265.00	0.00	5103			
