batch_no,created_date,customer,due_date,file_name,file_stem,import_line_description,import_requires_job_sheet,item,item_code,job_sheet_id,line_index,match_reasons,match_score,match_status,myob_item_number,notes,order_code,order_id,order_item_id,print_type,roll_type,sheet_name,total_kgs,total_mts,total_rolls
947646,2024-10-28,ROB BEN,2024-04-29,PB26031035P - MACKERAL.xlsx,PB26031035P - MACKERAL,"PB26031035P-MACKERAL - LD NATURAL POLY BAG PRINTED ""MACKERAL"" 1C/1S BLACK ; 260MM X 310MM X 35UM ; 1000/CARTON ; $/1000 (UOM = THOU)   - (Customer Part # .)",True,PB26031035AS0P,MACKERAL,cf03fcc8-d21b-4474-9f7d-820758997568,2,"customer_partial,item_code_matches_description_second_token,line_requires_job_sheet",138.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,947646,de2488e7-901a-441a-bcc4-af14606495a1,ef0a8887-2e56-402b-9679-9fb54b16d8f5,Random Print,,Sheet1,62.062,3682.8,4.0
949953,2025-05-16,ROB BEN HOLDINGS,,PB26031035P - TUSK.xlsx,PB26031035P - TUSK,PB26031035P-TUSK - LD NATURAL POLY BAG PRINTED 'TUSK'' 1C/1S BLACK ; 260MM X 310MM X 35UM ; 1000/CARTON ; $/1000 (UOM = THOU)   - (Customer Part # .),True,PB26031035P,TUSK,14bb5aff-f9ae-4c1a-9002-c9cd6d0915cc,3,"customer_exact,item_matches_description_prefix,item_code_matches_description_second_token,line_requires_job_sheet",283.0,matched,,"MUST HAVE WATERPROOF SEALS - PLEASE CHECK FREQUENTLY - PRINT MUST ONLY SAY ""TUSK"" DO NOT USE NIGHT CROSSING PLATE",949953,3528aa7a-a98f-489f-a83e-dd7487571958,1db42dcf-556b-4ff0-b578-32c0b91ee8e7,Registered Print,,Sheet1,67.704,4017.6000000000004,3.0
950465,2025-08-18,OCEAN PETS,2025-09-08,PB275550100 - 275.xlsx,PB275550100 - 275,PB275550100 - L/D NATURAL POLY BAG 275MM X 550MM X 100UM 250/CTN $/1000 (UOM = THOU),True,PB275550100,Batch No,1e9c2bc3-e020-41ba-8a9f-df3a1422aca5,0,"customer_exact,item_matches_description_prefix,line_requires_job_sheet",173.0,matched,,MUST BE WITHIN TOLERANCE - MUST HAVE WATER TIGHT SEALS - PLEASE CHECK SEALS FREQUENTLY.,950465,253e76bb-f221-4ca1-b505-01487a3a4fb4,7bb7f219-4e05-4da3-a73d-75e5d20f4e43,None,,Sheet1,151.25000000000003,2970.0,6.0
944981,2023-02-24,KAZZI KOVERS,,PB30038035VP- KAZZI.xlsx,PB30038035VP- KAZZI,PB30038035VP - L/D NATURAL POLY BAG 1C/1S 6MM VENT ABOVE LOGO 300MM X 380MM X 35UM $/1000 (UOM = THOU),True,PB30038035VP,Batch No,02f7cacf-bf73-4b47-b517-2dac198918e7,0,"customer_exact,item_matches_description_prefix,desc_overlap_medium,line_requires_job_sheet",185.0,matched,,MUST HAVE 6MM VENT HOLE ABOVE LOGO LOGO TO START 40MM FROM SEAL VENT IN CENTRE - SECOND VENT HOLE TO BE 100MM FROM TOP OF BAG,944981,59cee0a2-8fa8-430c-803b-ef0b4f877988,129e4986-521a-4aaa-bdc7-abbadf423010,Registered Print,,Sheet1,127.68000000000002,6566.400000000001,6.0
951213,2026-03-04,BLACKWOODS,2026-03-25,PB30040050.xlsx,PB30040050,PB300400200CL - LD CLEAR POLY BAG 300MM X 400MM X 200UM(INNER PACKS OF 50);200/CTN;$/CTN (UOM = CTN),True,PB300400200,Batch No,ae7a6769-132b-4d7b-9d9f-351663f4a448,0,"customer_exact,item_matches_description_prefix,line_requires_job_sheet",173.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,949141,661fbfd7-11c8-4493-8cf0-440e472e658f,bf0e9a04-2c21-4bd9-b895-4bbad4658c79,None,,Sheet1,288.00000000000006,2592.0,12.0
942993,2022-03-30,DENCO,2022-04-30,PB30045035P - MEAT CITY CHICKEN FRAMES 500G $3.00 - 0802022.xlsx,PB30045035P - MEAT CITY CHICKEN FRAMES 500G $3.00 - 0802022,"PB30045035P-CHICKEN MEAT CITY - CODE 0802022; LD NATURAL POLY BAG PRINTED ""MEAT CITY CHICKEN FRAMES-500G""; 300MM X 450MM X 35UM; 1000/CARTON; $/1000 (UOM = THOU)",True,PB30045035ASP,0802022,fcbe6f72-b263-4b41-8a5c-035a1a71bdd8,0,"customer_exact,item_code_matches_description_token,desc_overlap_medium,line_requires_job_sheet",115.0,matched,,MEAT CITY CHICKEN FRAMES 500G/$2.00 - MUST HAVE GOOD PRINT - NO LINES OR SMUDGES,942993,5a9350e1-5030-4f3e-b7fe-f0836177ab8b,0d8090fb-ae25-4722-8174-1c33f700e9a7,Random Print,,Sheet1,94.5,4860.0,4.0
942993,2022-06-08,DENCO,2022-04-30,PB30045035P - MEAT CITY DOG BONES 500G $3.00 - 0802041.xlsx,PB30045035P - MEAT CITY DOG BONES 500G $3.00 - 0802041,PB30045035P-DOG BONES(MEAT CITY) - CODE: 0802041-LD CLEAR POLY BAG PRINTED (MEAT CITY) DOG BONES 300MM X 450MM X 35UM ; 1000/CTN ; $/1000 (UOM = THOU)   - (Customer Part # .),True,PB30045035ASP,0802041,31c31b4e-e7fb-403e-b5bc-af823b84666c,1,"customer_exact,item_code_matches_description_token,desc_overlap_medium,line_requires_job_sheet",115.0,matched,,MEAT CITY DOG BONES 500G/$3.00 - MUST HAVE GOOD PRINT - NO LINES OR SMUDGES,942993,5a9350e1-5030-4f3e-b7fe-f0836177ab8b,072ba78f-42be-406a-9542-bee10ebd99e7,Random Print,,Sheet1,103.95,5346.0,5.0
942531,2022-02-22,MINEMECH,2022-03-22,PB30538035 - J15.xlsx,PB30538035 - J15,PB30538035(2000) - J15  L/D NATURAL POLY BAG 305MM X 380MM X 35UM  2000/CTN  $/1000 (UOM = THOU),True,PB30538035,J15,ab7c6d71-2557-46f9-addf-2bd45ee4c82e,0,"item_matches_description_prefix,item_code_matches_description_token,line_requires_job_sheet",198.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,946100,1aad86f4-4d37-4891-bb70-6f383ef2969b,62214f47-b3ae-4b19-9b2b-d274027d7c5f,None,,Sheet1,97.356,4924.8,5.0
948583,2024-10-15,WILMAR,2024-11-05,PB30540535 - J16.xlsx,PB30540535 - J16,PB30540535 - J16  LD NATURAL POLY BAG 305MM X 405MM X 35UM  1000/CTN  $/1000 (UOM = THOU)   - (Customer Part # J16),True,PB305405350AS,J16,6fd2c099-d33b-44c8-a687-c11ab0cf0392,0,"customer_partial,item_code_matches_description_second_token,line_requires_job_sheet",138.0,matched,,Extruder Start Time Screw Speed Nip Speed Blower % Nip Roller Tension/Speed,948583,ce04b25e-9711-42b1-bbfd-577a5a2f0fcb,68da5204-5e5d-4413-a080-bbee3edf2abb,None,,Sheet1,103.76100000000001,5248.8,5.0
58135,2025-06-23,SUPAFIN SEAFOODS,2025-03-03,PB305455100.xlsx,PB305455100,PB305455100 - LD NATURAL POLY BAG 305MM(W) X 455MM(L) X 100UM  500/CTN  $/1000 (UOM = THOU)   - (Customer Part # .),True,PB305455100,Batch No,8f327e0b-6b94-4306-bace-9f2bd457eeba,0,"customer_exact,item_matches_description_prefix,qty_rolls_close_1pct,line_requires_job_sheet",193.0,matched,,***SOME BAGS WERE NOT SEALED IN CORNERS LAST RUN AND BROKE - PLEASE CHECK FREQUENTLY,943795-02,da74786a-13c4-42a7-b898-1d24d2f2a72c,8c78fc8f-3997-46d4-81e4-ff9cd57e8452,None,,Sheet1,555.0999999999999,9828.0,20.0
